Coordinate,FC,Expected Speed,Importance,Length,Level,Permanent ID,Road Number Type,Link ID,TMC,ADAS,Heading,Lane,Road Name,Shape Point,Speed Limit,Attribute,Access,Country,Driving Side,One Way,Toll Booth,Speed Sign Location,Character,Type
423091870:-837142580,4,20,55,24650,13,19692452,0,236006a,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091880:-837142100,4,20,55,24650,13,19692452,0,23604f2,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091880:-837141369,4,20,55,24650,13,19692452,0,236097a,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091900:-837140880,4,20,55,24650,13,19692452,0,2360e02,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091900:-837140400,4,20,55,24650,13,19692452,0,236128a,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091870:-837140170,4,20,55,24650,13,19692452,0,2361712,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091650:-837139800,4,20,55,24650,13,19692452,0,2361b9a,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091980:-837140050,4,20,55,24650,13,19692452,0,2362022,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091830:-837140200,4,20,55,24650,13,19692452,0,23624aa,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
423091719:-837140380,4,20,55,24650,13,19692452,0,2362932,;;;;;;;;,0:0:0:0:,225:219:225:219:,1:1:1:1:,Leslie Cir::,0:0:423083897:-837132107:-2147483648:;0:0:423085882:-837130122:-2147483648:;0:0:423086687:-837129907:-2147483648:;0:0:423090281:-837130014:-2147483648:;0:0:423091193:-837130202:-2147483648:;0:0:423091675:-837130819:-2147483648:;0:0:423091890:-837131516:-2147483648:;0:0:423092078:-837135111:-2147483648:;0:0:423091783:-837143908:-2147483648:;0:0:423091273:-837146108:-2147483648:;0:0:423089476:-837147905:-2147483648:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;0:0:0:0:0:;,0:0:0:0:0:0:0:,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,2147483647,60,1,0,-1,0,0,38912,
